Error: Unsupported GDML Tag Used :gdml_simple_extension. Please Check Geometry/Schema.
Using default pedestal values
begin loading voxelized TH3s...
...finished loading TH3s
 Adding SpacePoint at (-136.736, -21.3625, 341.533) with integral 1274.9
 Adding SpacePoint at (-136.845, -22.0976, 341.812) with integral 1117.64
 Adding SpacePoint at (-136.97, -22.9283, 342.128) with integral 998.92
 Adding SpacePoint at (-137.088, -23.701, 342.423) with integral 912.42
 Adding SpacePoint at (-137.215, -24.5291, 342.74) with integral 849.639
 Adding SpacePoint at (-137.344, -25.3574, 343.061) with integral 943.516
 Adding SpacePoint at (-137.479, -26.2047, 343.391) with integral 855.465
 Adding SpacePoint at (-137.609, -27.0199, 343.713) with integral 850.352
 Adding SpacePoint at (-137.737, -27.8234, 344.033) with integral 880.703
 Adding SpacePoint at (-137.852, -28.5464, 344.324) with integral 881.192
 Adding SpacePoint at (-137.982, -29.3514, 344.649) with integral 827.862
 Adding SpacePoint at (-138.09, -29.9989, 344.913) with integral 848.222
 Adding SpacePoint at (-138.208, -30.7114, 345.205) with integral 860.437
 Adding SpacePoint at (-138.317, -31.3897, 345.485) with integral 910.594
 Adding SpacePoint at (-138.449, -32.2019, 345.821) with integral 1035.99
 Adding SpacePoint at (-138.553, -32.8513, 346.094) with integral 1141.45
 Adding SpacePoint at (-138.673, -33.5748, 346.4) with integral 988.726
 Adding SpacePoint at (-138.803, -34.3556, 346.731) with integral 936.976
 Adding SpacePoint at (-139.083, -36.0113, 347.426) with integral 1772.42
 Adding SpacePoint at (-139.079, -36.0423, 347.447) with integral 1398.64
 Adding SpacePoint at (-139.157, -36.5544, 347.671) with integral 891.137
 Adding SpacePoint at (-139.291, -37.3783, 348.023) with integral 827.376
 Adding SpacePoint at (-139.42, -38.1842, 348.368) with integral 795.456
 Adding SpacePoint at (-139.563, -39.076, 348.752) with integral 908.559
 Adding SpacePoint at (-139.681, -39.8267, 349.076) with integral 1454.65
 Adding SpacePoint at (-139.736, -40.2078, 349.247) with integral 1754.05
 Adding SpacePoint at (-139.872, -41.1064, 349.64) with integral 873.102
 Adding SpacePoint at (-139.969, -41.796, 349.948) with integral 1128.45
 Adding SpacePoint at (-140.026, -42.2162, 350.137) with integral 1202.05
 Adding SpacePoint at (-140.172, -43.2074, 350.579) with integral 807.262
 Adding SpacePoint at (-140.262, -43.8494, 350.871) with integral 786.539
 Adding SpacePoint at (-140.332, -44.3709, 351.11) with integral 685.799
 Adding SpacePoint at (-140.43, -45.0901, 351.437) with integral 734.617
