PMT Simulation ID	PMT Installation ID	Breakout Board # (1=Curly, 2=Larry, 3=Moe)	Slot (0-47)	DIGITIZER (1-8)	CHANNEL (0-14)	Warm Cable Transit (ns)	PMT to BB Delay (ns)	PMT to BB Transit (ns)	BB to Digitizer Delay (ns)	BB to Digitizer Transit (ns)	Total Transit (ns)	DQM ID
90	T11	3	21	3	11	104.5	-5.15	135.85	0	7.4	143.3	41
144	T13	3	33	3	13	105.9	-3.25	137.75	0	7.4	145.2	43
116	T22	2	11	4	1	109.9	2.75	143.75	-0.08	7.32	151.1	46
88	T31	2	23	4	3	107.3	-2.05	138.95	-0.08	7.32	146.3	48
142	T33	1	47	4	14	111.7	2	143	0	7.4	150.4	59
86	U11	2	35	4	5	109.9	0	141	0	7.4	148.4	50
140	U13	2	47	4	7	103.9	0.05	141.05	0	7.4	148.5	52
114	U22	3	11	4	9	103.9	-0.4	140.6	-0.12	7.28	147.9	54
84	U31	3	23	4	11	104.5	1.45	142.45	0	7.4	149.9	56
138	U33	3	35	4	13	103.7	-1.55	139.45	-0.08	7.32	146.8	58
16	V11	2	5	1	1	107.5	-1.85	139.15	-0.12	7.28	146.4	1
70	V13	2	17	1	3	104.1	-5.55	135.45	-0.12	7.28	142.7	3
40	V22	3	3	1	5	104.3	-5.35	135.65	-0.1	7.3	143.0	5
14	V31	2	41	1	7	105.7	-3.7	137.3	0	7.4	144.7	7
68	V33	3	5	1	9	104.1	-5.5	135.5	-0.12	7.28	142.8	9
